date ,departure_city,departure_airport,arrival_city,stops,prices,flight_duration,arrival_airport,departure_time,arrival_time
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,12:00 PM,1:30 PM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,3:00 PM,4:30 PM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,2:00 PM,3:30 PM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,5:10 PM,6:40 PM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,7:25 PM,8:55 PM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,8:50 AM,10:20 AM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,10:00 AM,11:30 AM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:20 PM,7:50 PM
12/19/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:45 AM,8:15 AM
12/19/2024,YYZ,Pearson Intl,JFK,0,233,91,John F Kennedy Intl,8:50 PM,10:21 PM
12/19/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,4:20 PM,5:56 PM
12/19/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,8:55 PM,10:31 PM
12/19/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,6:15 AM,7:51 AM
12/19/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,6:15 PM,7:51 PM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:45 AM,8:15 AM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,10:00 AM,11:30 AM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:20 PM,7:50 PM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,2:00 PM,3:30 PM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,8:50 AM,10:20 AM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,5:10 PM,6:40 PM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,7:25 PM,8:55 PM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,3:00 PM,4:30 PM
12/20/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,12:00 PM,1:30 PM
12/20/2024,YYZ,Pearson Intl,JFK,0,233,91,John F Kennedy Intl,8:50 PM,10:21 PM
12/20/2024,YYZ,Pearson Intl,JFK,0,233,91,John F Kennedy Intl,8:50 PM,10:21 PM
12/20/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,6:15 PM,7:51 PM
12/20/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,8:55 PM,10:31 PM
12/20/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,4:20 PM,5:56 PM
12/21/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,5:10 PM,6:40 PM
12/21/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,2:00 PM,3:30 PM
12/21/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,9:00 AM,10:30 AM
12/21/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,12:00 PM,1:30 PM
12/21/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,3:00 PM,4:30 PM
12/21/2024,YYZ,Pearson Intl,JFK,0,233,91,John F Kennedy Intl,8:50 PM,10:21 PM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,5:15 PM,6:51 PM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,8:55 PM,10:31 PM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,6:15 PM,7:51 PM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,1:15 PM,2:51 PM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,7:40 AM,9:16 AM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,2:20 PM,3:56 PM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,4:20 PM,5:56 PM
12/21/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,6:15 AM,7:51 AM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,7:25 PM,8:55 PM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,8:50 AM,10:20 AM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,10:00 AM,11:30 AM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,2:00 PM,3:30 PM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,3:00 PM,4:30 PM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:20 PM,7:50 PM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,5:10 PM,6:40 PM
12/22/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,12:00 PM,1:30 PM
12/22/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,6:15 AM,7:51 AM
12/22/2024,YTZ,Toronto Island,EWR,1,233,365,Newark,11:35 AM,5:40 PM
12/22/2024,YYZ,Pearson Intl,LGA,1,240,211,LaGuardia,6:00 AM,9:31 AM
12/22/2024,YYZ,Pearson Intl,LGA,1,240,262,LaGuardia,6:00 AM,10:22 AM
12/22/2024,YYZ,Pearson Intl,LGA,1,240,376,LaGuardia,10:19 AM,4:35 PM
12/22/2024,YYZ,Pearson Intl,LGA,1,240,380,LaGuardia,2:50 PM,9:10 PM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,2:00 PM,3:30 PM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,10:00 AM,11:30 AM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:20 PM,7:50 PM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,7:25 PM,8:55 PM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,12:00 PM,1:30 PM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,8:50 AM,10:20 AM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,3:00 PM,4:30 PM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,5:10 PM,6:40 PM
12/23/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:45 AM,8:15 AM
12/23/2024,YTZ,Toronto Island,EWR,1,233,210,Newark,2:10 PM,5:40 PM
12/23/2024,YYZ,Pearson Intl,LGA,1,240,217,LaGuardia,2:50 PM,6:27 PM
12/23/2024,YYZ,Pearson Intl,LGA,1,240,222,LaGuardia,7:40 PM,11:22 PM
12/23/2024,YYZ,Pearson Intl,LGA,1,240,262,LaGuardia,6:00 AM,10:22 AM
12/23/2024,YYZ,Pearson Intl,LGA,1,240,276,LaGuardia,2:50 PM,7:26 PM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,5:10 PM,6:40 PM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:20 PM,7:50 PM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,10:00 AM,11:30 AM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,2:00 PM,3:30 PM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,8:50 AM,10:20 AM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,3:00 PM,4:30 PM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,7:25 PM,8:55 PM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,12:00 PM,1:30 PM
12/24/2024,YTZ,Toronto Island,EWR,0,227,90,Newark,6:45 AM,8:15 AM
12/24/2024,YYZ,Pearson Intl,JFK,0,233,91,John F Kennedy Intl,8:50 PM,10:21 PM
12/24/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,4:20 PM,5:56 PM
12/24/2024,YYZ,Pearson Intl,LGA,0,233,96,LaGuardia,6:15 AM,7:51 AM
